12/12/2018 23.06.03,Ingegneria,No,Assolutamente si,Si,Più siamo meglio è,Non saprei,Forum,Si,"Pc, Smartphone, Tablet","Una buona catalogazione, un incentivo a condividere appunti ed un sistema per dare votazioni",,
12/12/2018 23.06.24,Ingegneria gestionale,No,Assolutamente si,Si,Aiuto reciproco,Si,Forum,Si,Libri,Di avere il materiale sufficiente a passare gli esami ,,
12/12/2018 23.06.51,Ingegneria gestionale ,Si,Assolutamente si,Non saprei,Vorrei aiutare gli altri come vorrei essere aiutato io,Si,Chat,Non saprei,"Libri, Pc",Una migliore reperibilità delle Informazioni ,,
12/12/2018 23.07.04,Farmacia e medicina,Si,Assolutamente si,Si,È sempre un piacere aiutare il prossimo,Si,Chat,Si,"Libri, Smartphone",Che aiuti molti studenti,,
12/12/2018 23.07.14,Ingegneria ,Si,Assolutamente si,Non saprei,I,Si,Chat,Si,"Libri, Pc",I,,
12/12/2018 23.07.43,Ingegneria Gestionale,No,Più si che no,Si,Non ci perdo niente + gloria eterna,Si,Chat,Si,"Libri, Pc, Smartphone",Mi pare un'idea promettente,,
12/12/2018 23.08.09,Medicina,No,Assolutamente si,Non saprei,Poter usufruire degli appunti degli altri,Si,Forum,Si,Libri, Che renda più semplice la condivisione degli appunti,,
12/12/2018 23.08.20,Ingegneria,No,Assolutamente si,Si,"La possibilità di avere più versioni possibili dei concetti espressi, quindi migliori probabilità di comprendere con facilità la materia. Senza dover attenersi solo a slide poco specifiche e libri troppo specifici",Si,Chat,No,"Libri, Pc, Smartphone",Che sia legale(?),,
12/12/2018 23.08.22,Farmacia,Si,Assolutamente si,Si,Poterne ricevere altri,Si,Forum,Si,Libri,Possibilità di studiare meglio,,
12/12/2018 23.10.07,Medicina e chirurgia,Si,Assolutamente si,Si,Aiuto,Si,Forum,Si,"Libri, Pc",Aiuto,,
12/12/2018 23.10.21,Ing.Elettrotecnica,No,Assolutamente si,Si,"Buonsenso, se avessi trovato io un servizio del genere quando ho cominciato sarebbe stato diverso. Meno tempo perso.",Si,Forum,Si,"Pc, Tablet","Efficienza, soprattutto ottima gestione, e se funziona mi aspetto che l'impatto al carico universitario (rispetto alle superiori) per i nuovi studenti sia ridotto di molto.",,
12/12/2018 23.10.25,Ignegneria Gestionale,Si,Assolutamente si,Si,Mantenere il servizio attivo e ricambiare l’aiuto che gli altri danno a me pubblicando i loro,Non saprei,Chat,Si,"Libri, Pc",Rapidità di risposta e un vasto database di appunti ,,
12/12/2018 23.11.27,Medicina ,Si,Assolutamente si,Si,Aiutare gli altri in modo tale da poter essere aiutato quando mi trovo nella stessa situazione,Si,Chat,Non saprei,"Libri, Pc, Smartphone","Utilizzo semplice e chiaro per trovare subito quello che cerchi (il sito di e-learning è impossibile da utilizzare, pur di non perdere tempo preferisco non scaricare le slide)",,
12/12/2018 23.11.55,Fisica,No,Assolutamente si,Si,La conoscenza è pubblica,Non saprei,Forum,Si,"Libri, Pc",Semplicità e risorse,,
12/12/2018 23.12.15,Ingegneria ,Si,Assolutamente si,Si,Per avere esami con più facilità da prepare e metterci meno tempo! ,Si,Chat,Si,"Libri, Pc",Efficienza in tempo e qualità ,,
12/12/2018 23.12.39,Farmacia,Si,Assolutamente si,Si,Migliorare i risultati degli esami ed ottimizzare i tempi per prepararli,Non saprei,Forum,Non saprei,"Libri, Pc",Maggior numero possibile di materiale su cui studiare,,
12/12/2018 23.13.11,Medicina,No,Più si che no,Non saprei,La consapevolezza che può aiutare,Si,Forum,Si,"Libri, Tablet",Che aiuti,,
12/12/2018 23.13.14,Farmacia,Si,Assolutamente si,Si,Il confronto con gli altri,Si,Chat,Si,"Libri, Tablet",Praticità,,
12/12/2018 23.13.29,Ingegneria gestionale ,Si,Assolutamente si,Si,Il bisogno ,Si,Chat,Si,"Libri, Pc",Il top,,
12/12/2018 23.13.31,Medicina,No,Assolutamente si,Si,La reciprocità,Si,Chat,Si,"Libri, Pc","Velocità, facilità di utilizzo",,
12/12/2018 23.15.01,Medicina,Si,Assolutamente si,Si,La voglia di aiutare chi sta nella mia stessa situazione ,Si,Forum,Si,Libri,Una sorta di archivio con gli appunti e le spiegazioni interattivi,,
12/12/2018 23.15.01,Medicina e chirurgia,No,Assolutamente si,Si,Non penso che evitare di aiutare gli altri mi renderà un professionista migliore di loro.,Si,Chat,Si,Libri,Mi aspetto una piattaforma ben organizzata dove poter trovare gli strumenti necessari per agevolarmi nello studio,,
12/12/2018 23.15.23,Farmacia,Si,Assolutamente si,Non saprei,Cosa?,Si,Chat,Si,"Libri, Pc",Che sia di aiuto per noi studenti,,
12/12/2018 23.15.45,Medicina e Chirurgia,Si,Assolutamente si,No,Solo per gli amici,Si,Chat,Si,"Libri, Pc, Smartphone, Tablet",Che cracca dopo 2 giorni,,
12/12/2018 23.16.35,Medicina e chirurgia,Si,Assolutamente si,Si,Aiutare gli altri aiuta anche me,Si,Forum,Si,"Libri, Pc",Praticità e aiuto per superare gli esami,,
12/12/2018 23.18.11,Psicologia ,No,Assolutamente si,Non saprei,Non lo so,Si,Chat,Si,"Pc, Tablet",Affidabilità ,,
12/12/2018 23.21.15,Medicina ,Si,Assolutamente si,Si,Condivisione,Si,Chat,Si,"Libri, Pc",Che sia funzionale ,,
12/12/2018 23.21.59,Ingegneria gestionale ,Si,Assolutamente si,Si,L'aiuto reciproco,Si,Chat,Si,Libri,Una catalogazione dettagliata di corsi e materie e la possibilitá di esprimere giudizi sugli appunti ,,
12/12/2018 23.23.14,Medicina,No,Assolutamente si,Si,Posso aiutare gli altri ,Si,Non lo farei,No,"Libri, Smartphone",Vorrei poter avere tutti gli esercizi su una piattaforma ,,
12/12/2018 23.24.31,Giurisprudenza,No,Assolutamente si,Non saprei,L’aiuto reciproco,Si,Chat,Non saprei,Libri,Penso che sia utile,,
12/12/2018 23.24.43,Giurisprudenza ,No,Assolutamente si,Non saprei,Aiutare gli altri ,Non saprei,Chat,Non saprei,Libri,Altruismo,,
12/12/2018 23.24.51,Design ,No,Assolutamente si,Non saprei,Velocità di apprendimento ,Si,Chat,Si,Pc,Più collaborazione ,,
12/12/2018 23.25.42,Economia,Si,Assolutamente si,Non saprei,Poter essere ricambiato.,Non saprei,Forum,Si,"Libri, Pc",Che diventi utile a tutti gli studenti e quindi tutti abbiano completezza di materiale su cui studiare.,,
12/12/2018 23.27.08,Lingue,No,Assolutamente si,Si,Il mio altruismo,Non saprei,Chat,Non saprei,Libri,Correttezza degli appunti,,
12/12/2018 23.28.00,Scienze politiche e relazioni internazionali ,Si,Assolutamente si,Si,Perché come ne ho bisogno io ne hanno bisogno gli altri,Si,Chat,Si,Libri,Avere appunti più facilmente ,,
12/12/2018 23.29.07,Scienze dell’Educazione e della formazione ,Si,Assolutamente si,Si,Perché so che aiuterei qualcuno nella mia stessa situazione,Si,Chat,Si,Libri,Comprensione,,
12/12/2018 23.29.20,MEDICINA E CHIRURGIA ,Si,Assolutamente si,No,Dare una mano agli altri ,Si,Chat,Si,Libri,Che migliori e faciliti il mio studio ,,
12/12/2018 23.29.30,Economia,No,Assolutamente si,Non saprei,L'aiuto reciproco,Si,Forum,Si,"Libri, Pc",Partecipazione,,
12/12/2018 23.30.40,Scienze biologiche ,Si,Assolutamente si,Si,"Poter dare una mano, e basta ",Si,Chat,Si,Libri,Un grande aiuto ,,
12/12/2018 23.30.45,Ingegneria ,Si,Assolutamente si,Si,L’union Fa la forza ,Si,Forum,Non saprei,"Libri, Pc",Professionalità ,,
12/12/2018 23.32.52,Medicina,Si,Assolutamente si,Non saprei,Dipende in che modo,No,Non lo farei,Si,Libri,Esemplificazione dei concetti,,
12/12/2018 23.36.02,Medicina e Chirurgia ,Si,Assolutamente si,Si,Aiuto reciproco ,Si,Chat,Si,Pc,Miglioramenti ,,
12/12/2018 23.37.16,Medicina e chirurgia ,Si,Assolutamente si,Si,Spirito di collaborazione con altri studenti,Si,Chat,Si,Libri,Poter facilitare il mio studio ,,
12/12/2018 23.39.52,Medicina,Si,Assolutamente si,Si,Aiuto reciproco,Si,Chat,Si,Libri,"Lavoro di squadra, sostegno",,
12/12/2018 23.40.33,Economia ,No,Assolutamente si,Si,Solidarietà ,Si,Chat,Si,"Libri, Pc",Gli argomenti chiave per un risultato ottimale con il minimo sforzo.,,
12/12/2018 23.41.10,Medicina e Chirurgia,No,Assolutamente si,Si,Sapere di poter essere utile agli altri ,Si,Chat,Si,Libri,Più fonti da cui studiare,,
12/12/2018 23.41.31,Geologia,Si,Assolutamente si,Si,Non lo so,Si,Chat,Si,"Pc, Smartphone",Non lo so,,
12/12/2018 23.41.35,Medicina,No,Più si che no,Si,Lo farei per la leopardiana social catena,Si,Forum,Si,Libri,Efficace solidarietà ,,
12/12/2018 23.42.19,Economia,No,Più si che no,Non saprei,"Se fossero appunti che ho creato io vorrei che vengano pagati, se niece fossero appunti reperibili tra gli studenti non avrei problemi a passarli ",Si,Chat,Si,"Libri, Pc, Tablet",Che sia gratuito e lasci agli studenti la libera contrattazione,,
12/12/2018 23.48.19,Educazione e formazione,Si,Assolutamente si,Si,Solidarietà,Si,Chat,Si,Libri,"Serietà, rispetto, velocità e maggiore aiuto nello studio",,
12/12/2018 23.49.00,Medicina,Si,Assolutamente si,No,Perché vorrei che riguardassero solo un certo numero di studenti ,Si,Forum,Si,Libri,Utilità ,,
12/12/2018 23.52.32,Medicina ,No,Assolutamente si,Si,Solidarietà ,Si,Forum,Si,Libri,Facilità nello studio ,,
12/12/2018 23.54.37,Farmacia ,Si,Assolutamente si,Si,Aiuto reciproco ,Si,Forum,Si,Libri,Miglioramento dello studio ,,
12/12/2018 23.55.44,medicina,Si,Assolutamente si,Si,Dare e ricevere,Si,Chat,Si,Libri,Appunti efficaci ,,
12/12/2018 23.56.29,Farmacia,Si,Assolutamente si,Si,aiuto comune ,Si,Forum,Si,"Libri, Smartphone",velocità di comunicazione ,,
13/12/2018 0.04.58,Chimica,No,Assolutamente si,Si,Perche alcune volte sono fatti con molta attenzione e precisione ,Si,Forum,Si,"Libri, Pc, Smartphone, Tablet",Non saprei,,
13/12/2018 0.05.22,Medicina,Si,Assolutamente si,Si,Dare una mano sia a me stessa che agli altri studenti nello studio ,Si,Forum,Si,Libri,Che mi dia supporto nello studio ,,
13/12/2018 0.06.12,Farmacia,Si,Assolutamente si,Si,Il fatto che si potrebbe migliorare lo studio,Si,Forum,Si,"Libri, Pc",Serietà ,,
13/12/2018 0.08.49,Ingegneria ,Si,Assolutamente si,Si,Bene comune ,Si,Chat,Si,"Libri, Pc, Smartphone",Appunti ,,
13/12/2018 0.15.42,Scienze dell’educazione e della formazione,No,Assolutamente si,Si,Per solidarietà e per una reciprocità di aiuto.,Si,Chat,Si,Libri,Accessibilità ed aiuti concreti nel facilitare lo studio ,,
13/12/2018 0.16.24,Psicologia,Si,Assolutamente si,Si,Il fatto che se ognuno partecipa tutti si aiutano. ,Si,Chat,Si,"Libri, Smartphone",Più condivisione e più facilità nel reperire il materiale,,
13/12/2018 0.22.46,"Statistica, economia, finanza e assicurazioni",No,Assolutamente si,Si,La possibilità di aiutare ed essere aiutato,Si,Chat,Si,"Libri, Pc",Praticità e chiarezza,,
13/12/2018 0.27.41,Ingegneria Clinica ,No,Assolutamente si,Si,Unire le informazioni recepite a lezione con quelle dei miei colleghi che potrebbero aver colto altri dettagli ed aiutare chi non ha potuto seguire alcune lezioni per problematiche varie,Si,Chat,Non saprei,"Libri, Pc","collaborazione per migliore comprensione, ad maiora",,
